"";"Compound";"Filename";"Area";"RT";"Theoretical_amt";"SMILES";"IC";"Molecular_weight";"area_IC";"Theoretical_conc_uM";"slope_pred";"conc_pred";"Compound_homolog";"SMILES_homolog";"slope_homolog";"pattern";"conc_homolog"
"67";"6:2 diPAP";"2020071212-solvent_201208050354";11741;6,24;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;1408087,00711311;NA;NA;NA;NA;NA;NA;NA;NA
"68";"6:2 diPAP";"2020071212-solvent_201208074426";13929;6,24;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;1670491,77430189;NA;NA;NA;NA;NA;NA;NA;NA
"69";"6:2 diPAP";"2020071212-solvent_201208105404";6445;6,21;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;772942,744301505;NA;NA;NA;NA;NA;NA;NA;NA
"70";"6:2 diPAP";"2020071212-solvent_201208144720";22370;6,23;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;2682812,9076842;NA;NA;NA;NA;NA;NA;NA;NA
"71";"6:2 diPAP";"2020071212-solvent_201208185514";104555;6,24;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;12539182,0993706;NA;NA;NA;NA;NA;NA;NA;NA
"72";"6:2 diPAP";"cal7_201208072952";13183170;6,23;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;1581045088,96715;NA;NA;NA;NA;NA;NA;NA;NA
"73";"6:2 diPAP";"cal7_201208103931";15205240;6,23;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;1823550028,45043;NA;NA;NA;NA;NA;NA;NA;NA
"74";"6:2 diPAP";"cal7_201208143247";17409901;6,24;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;2087952933,58534;NA;NA;NA;NA;NA;NA;NA;NA
"75";"6:2 diPAP";"cal7_201208162928";19357542;6,23;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;2321531673,60925;NA;NA;NA;NA;NA;NA;NA;NA
"76";"6:2 diPAP";"QCN-AL";6233934;6,23;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;747629798,875788;NA;NA;NA;NA;NA;NA;NA;NA
"77";"6:2 diPAP";"QCN-BL";8684023;6,22;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;1041466651,54343;NA;NA;NA;NA;NA;NA;NA;NA
"78";"6:2 diPAP";"QCN-CL";6902769;6,21;NA;"O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";119,929052645695;790,173;827842546,802072;NA;NA;NA;NA;NA;NA;NA;NA
"79";"6:2 FTS";"2020071203-solvent_201208164403";86823;3,67;NA;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";115,361744302463;428,168;10016052,7255727;NA;NA;NA;NA;NA;NA;NA;NA
"80";"6:2 FTS";"2020071204-cal11";81427;3,72;0,012;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";115,361744302463;428,168;9393560,75331664;2,80263821677472e-05;NA;NA;NA;NA;NA;NA;NA
"81";"6:2 FTS";"2020071204-cal12";99529;3,69;0,012;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";115,361744302463;428,168;11481839,0486798;2,80263821677472e-05;NA;NA;NA;NA;NA;NA;NA
"82";"6:2 FTS";"2020071205-cal21";96840;3,81;0,041;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";115,361744302463;428,168;11171631,3182505;9,57568057398031e-05;NA;NA;NA;NA;NA;NA;NA
"83";"6:2 FTS";"2020071205-cal22";131008;3,82;0,041;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";115,361744302463;428,168;15113311,397577;9,57568057398031e-05;NA;NA;NA;NA;NA;NA;NA
