,11Cl-PF3OUdS,4_2 FTS,6_2 diPAP,6_2 mono PAP,6_2_8_2 diPAP,8_2 diPAP,8_2 FTS,9Cl-PF3ONS,d3- MeFOSA,d3-MeFOSAA,d5-EtFOSA,D5-EtFOSAA,EtFOSA,EtFOSAA,EtFOSE,FOSA,FOSAA,FPePA,FPrPA,M 6_2 monoPAP,M2 6_2 FTS,M2PFDA,M2PFDoDA,M2PFHxA,M2PFUnDA,M3HFPO-DA,M4 6_2_6_2 diPAP,M4 8_2_8_2 diPAP,M4PFHpA,M4PFOS,M5PFNA,M5PFPeA,M8FOSA,M8PFOA,M8PFOS,MeFOSA,MeFOSAA,MeFOSE,MPFHxA,MPFHxS,MPFOA,NaDONA,PFBS,PFDA,PFDoDA,PFDS,PFHpA,PFHpS,PFHpS-br,PFHxA,PFHxDA,PFHxS,PFHxS-br,PFNA,PFNS,PFNS-br,PFOA,PFOcDA,PFOS,PFOS-br,PFPeA,PFPeDA,PFPeS,PFTeDA,PFTriDA,PFUnDA,PFUnDS
DL-3A,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.745,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.700,0.420,0.018,0,-0.009,0,0,0,0.024,0,0.465,0,0,0,0,3.363,0.135,0,0.304,0,0.350,2.064,2.351,0
DL-3B,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.584,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.526,0.312,0.009,0,-0.013,0,0,0,0.005,0,0.341,0,0,0,0,2.669,0.106,0,0.196,0,0.206,1.671,1.733,0
DL-3C,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.749,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.809,0.444,0.022,0,-0.010,0,0,0,0.015,0,0.506,0,0,0,0,3.799,0.142,0,0.288,0,0.319,1.883,2.478,0
DL-4,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.975,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.919,0.431,0.012,0,-0.009,0,0,0,0.017,0,0.858,0,0,0.036,0,3.449,0.148,0,0.244,0,0.273,1.623,2.768,0
DL-5,0,0,-0.004,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.792,0,0,0,0,0,1.000,1.000,1.000,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,1.108,0.461,0.019,0,-0.009,0,0,0,0.018,0,0.790,0,0,0.028,0,4.739,0.188,0,0.217,0,0.261,1.795,3.206,0
EB-A,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EB-B,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0,0,0,0,0,0,0,0,-0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EB-C,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PB-1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.087,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.045,0.016,-0.011,0,0,0,0,0,-0.013,0,0.047,0,0,-0.009,0,0.122,-0.019,0,0,0,0.013,0.180,0.140,0
PB-2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.106,0,0,0,0,0,1.000,1.000,1.000,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0,0,0,0,0,0.145,0.116,0
