"";"Compound";"Filename";"Area";"RT";"Theoretical_amt";"SMILES";"IC";"Molecular_weight";"area_IC";"Theoretical_conc_uM";"slope_pred";"conc_pred";"Compound_homolog";"SMILES_homolog";"slope_homolog";"pattern";"conc_homolog";"intercept_homolog";"conc_homolog_withIntercept"
"35";"PFDA";"cal7_201208072952";23888827;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;2669651354,65844;NA;107195805617,959;0,0249044385577264;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,0404983200209544;-94316991,5168419;0,0419290985003979
"36";"PFDA";"cal7_201208072952";23888827;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;2669651354,65844;NA;107195805617,959;0,0249044385577264;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,0287487627733656;78567567,5810738;0,0279026896117419
"37";"PFDA";"cal7_201208103931";29708222;4,98;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;3319987000,90187;NA;107195805617,959;0,0309712397958382;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,0503638408788157;-94316991,5168419;0,0517946193582593
"38";"PFDA";"cal7_201208103931";29708222;4,98;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;3319987000,90187;NA;107195805617,959;0,0309712397958382;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,0357520537402895;78567567,5810738;0,0349059805786659
"39";"PFDA";"cal7_201208143247";35109977;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;3923650067,04082;NA;107195805617,959;0,0366026454526079;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,059521343784454;-94316991,5168419;0,0609521222638976
"40";"PFDA";"cal7_201208143247";35109977;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;3923650067,04082;NA;107195805617,959;0,0366026454526079;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,0422527401513402;78567567,5810738;0,0414066669897166
"41";"PFDA";"cal7_201208162928";39832195;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;4451372741,7746;NA;107195805617,959;0,0415256242174166;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,0675268392310371;-94316991,5168419;0,0689576177104806
"42";"PFDA";"cal7_201208162928";39832195;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;4451372741,7746;NA;107195805617,959;0,0415256242174166;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,0479356447596794;78567567,5810738;0,0470895715980558
"43";"PFDA";"QCN-AL";13043571;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;1457659975,92655;NA;107195805617,959;0,0135981064513064;"PFNA";"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";65920051826,2764;"smaller";0,0221125429295478;-94316991,5168419;0,0235433214089913
"44";"PFDA";"QCN-AL";13043571;4,97;NA;"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";111,753136922899;514,083;1457659975,92655;NA;107195805617,959;0,0135981064513064;"PFUnDA";"OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";92861434619,0838;"bigger";0,0156971511575914;78567567,5810738;0,0148510779959678
