name;SMILES;logIE;pH.aq.;polarity_index;viscosity;surface_tension;NH4;data_type
pentachlorophenol;Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl;2.35;10.5;8;0.84;30.026945;1;non-PFAS
2-hydroxy-1,3,5-tris(2,2,2-trifluoroethyl)-1,3,5-benzenetrisulfonic acid ester;O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O;3.98;10.5;8;0.84;30.026945;1;non-PFAS
salicylic acid;OC(=O)c1ccccc1O;0.64;10.5;8;0.84;30.026945;1;non-PFAS
2-cyanophenol;Oc1ccccc1C#N;0.83;10.5;8;0.84;30.026945;1;non-PFAS
4-phenylazophenol;Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3;1.66;10.5;8;0.84;30.026945;1;non-PFAS
3,5-diiodosalicylic acid;OC(=O)c1cc(I)cc(I)c1O;2.28;10.5;8;0.84;30.026945;1;non-PFAS
2,4,6-trinitro-1,3-benzenediol;Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O;1.85;10.5;8;0.84;30.026945;1;non-PFAS
3,5-dinitrosalicylic acid;OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O;1.76;10.5;8;0.84;30.026945;1;non-PFAS
2,4-dinitrobenzoic acid;OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;0.4;10.5;8;0.84;30.026945;1;non-PFAS
4-chlorophenol;Oc1ccc(Cl)cc1;0.46;10.5;8;0.84;30.026945;1;non-PFAS
2-hydroxy-, 1,3,5-tris(2,2,3,3-tetrafluoro-propyl) 1,3,5-benzenetrisulfonic acid ester;O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O;3.84;10.5;8;0.84;30.026945;1;non-PFAS
heptafluorornapht-2-ol;FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21;1.9;10.5;8;0.84;30.026945;1;non-PFAS
2,4-dinitro-benzenesulfonic acid;O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;1.87;10.5;8;0.84;30.026945;1;non-PFAS
naphthalene-1-sulfonic acid;O=S(C1=CC=CC2=CC=CC=C21)(O)=O;1.77;10.5;8;0.84;30.026945;1;non-PFAS
2-anthraquinonesulfonic acid;O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1;2.31;10.5;8;0.84;30.026945;1;non-PFAS
