Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
3:3 FTCA,QCN-AL,220791,1.4,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,107.0759057,242.092,23641396.29,NA,1.349315524,1.349315524,0.59801982,model_15,3218442200,3:3 FTA,22416358656,0.001054649,0.255322151
3:3 FTCA,QCN-BL,291915,1.41,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,107.0759057,242.092,31257063,NA,1.349315524,1.349315524,0.59801982,model_15,3218442200,3:3 FTA,22416358656,0.001394386,0.337569764
3:3 FTCA,QCN-CL,231744,1.4,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,107.0759057,242.092,24814198.68,NA,1.349315524,1.349315524,0.59801982,model_15,3218442200,3:3 FTA,22416358656,0.001106968,0.267988172
MeFOSA,QCN-AL,11960862,7.52,NA,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O,116.6308451,513.171,1395005443,NA,2.005763769,2.005763769,2.497973462,model_16,2.90879E+11,MeFOSA,91176382125,0.015300075,7.851554554
MeFOSA,QCN-BL,15620729,7.52,NA,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O,116.6308451,513.171,1821858824,NA,2.005763769,2.005763769,2.497973462,model_16,2.90879E+11,MeFOSA,91176382125,0.019981697,10.25402734
MeFOSA,QCN-CL,13314827,7.51,NA,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O,116.6308451,513.171,1552919525,NA,2.005763769,2.005763769,2.497973462,model_16,2.90879E+11,MeFOSA,91176382125,0.017032037,8.740347524
MeFOSAA,QCN-AL,2487992,5.12,NA,CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.6764042,571.207,297753936.2,NA,2.293948889,2.293948889,1.84421794,model_17,64582232569,MeFOSAA,1.74571E+11,0.001705632,0.974268844
MeFOSAA,QCN-BL,3322569,5.11,NA,CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.6764042,571.207,397633110.6,NA,2.293948889,2.293948889,1.84421794,model_17,64582232569,MeFOSAA,1.74571E+11,0.002277772,1.301079529
MeFOSAA,QCN-CL,2858998,5.11,NA,CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.6764042,571.207,342154600.3,NA,2.293948889,2.293948889,1.84421794,model_17,64582232569,MeFOSAA,1.74571E+11,0.001959973,1.119550496
ADONA,QCN-AL,11831692,3.64,NA,OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,108.7910355,378.069,1287182024,NA,2.029380322,2.029380322,2.3207921,model_18,1.93579E+11,NaDONA,1.00729E+11,0.012778606,4.831194758
