Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
5:3 FTA,QCN-BL,1982356,3.63,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,109.39112530089835,342.107,216852153.58698764,NA,1.0515761375427246,1.0515761375427246,1.4719210791894042,model_14,27463253770.22691,5:3 FTA,10278469012.01544,0.02109770952595074,7.21767411279443
5:3 FTA,QCN-CL,1726650,3.625,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,109.39112530089835,342.107,188880186.50079614,NA,1.0515761375427246,1.0515761375427246,1.4719210791894042,model_14,27463253770.22691,5:3 FTA,10278469012.01544,0.01837629575766555,6.286659412767689
3:3 FTA,QCN-AL,220791,1.4,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,107.07590567029904,242.092,23641396.288850993,NA,1.3493155241012573,1.349315524101257,0.598019820343715,model_15,3218442200.2285748,3:3 FTA,22416358655.7129,0.0010546492698458806,0.25532215103552897
3:3 FTA,QCN-BL,291915,1.41,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,107.07590567029904,242.092,31257063.003745344,NA,1.3493155241012573,1.349315524101257,0.598019820343715,model_15,3218442200.2285748,3:3 FTA,22416358655.7129,0.001394386282081517,0.33756976380167864
3:3 FTA,QCN-CL,231744,1.4,NA,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,107.07590567029904,242.092,24814198.68365778,NA,1.3493155241012573,1.349315524101257,0.598019820343715,model_15,3218442200.2285748,3:3 FTA,22416358655.7129,0.0011069683111683164,0.26798817238736006
MeFOSA,QCN-AL,11960862,7.52,NA,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O,116.63084510346393,513.171,1395005443.2259078,NA,2.0057637691497803,2.0057637691497803,2.4979734619549907,model_16,290878563392.8525,MeFOSA,91176382124.54564,0.015300074544747237,7.851554554202485
MeFOSA,QCN-BL,15620729,7.52,NA,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O,116.63084510346393,513.171,1821858824.4021869,NA,2.0057637691497803,2.0057637691497803,2.4979734619549907,model_16,290878563392.8525,MeFOSA,91176382124.54564,0.019981696816106977,10.254027336818435
MeFOSA,QCN-CL,13314827,7.51,NA,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O,116.63084510346393,513.171,1552919525.4164193,NA,2.0057637691497803,2.0057637691497803,2.4979734619549907,model_16,290878563392.8525,MeFOSA,91176382124.54564,0.017032037126622917,8.740347524306209
MeFOSAA,QCN-AL,2487992,5.12,NA,CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.67640420121006,571.207,297753936.241377,NA,2.2939488887786865,2.2939488887786865,1.8442179404530497,model_17,64582232568.91695,MeFOSAA,174571047450.1808,0.0017056318363808307,0.9742688443635852
MeFOSAA,QCN-BL,3322569,5.11,NA,CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.67640420121006,571.207,397633110.6304103,NA,2.2939488887786865,2.2939488887786865,1.8442179404530497,model_17,64582232568.91695,MeFOSAA,174571047450.1808,0.00227777238229545,1.301079529173837
MeFOSAA,QCN-CL,2858998,5.11,NA,CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.67640420121006,571.207,342154600.25845116,NA,2.2939488887786865,2.2939488887786865,1.8442179404530497,model_17,64582232568.91695,MeFOSAA,174571047450.1808,0.001959973347562662,1.1195504959412255
NaDONA,QCN-AL,11831692,3.64,NA,OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,108.79103547331111,378.069,1287182024.0812912,NA,2.0293803215026855,2.0293803215026855,2.3207921001790517,model_18,193578878864.8731,NaDONA,100729456168.62756,0.012778605911725225,4.831194758440044
NaDONA,QCN-BL,15739704,3.63,NA,OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,108.79103547331111,378.069,1712338696.2034168,NA,2.0293803215026855,2.0293803215026855,2.3207921001790517,model_18,193578878864.8731,NaDONA,100729456168.62756,0.016999383907492286,6.426940074521702
NaDONA,QCN-CL,13585624,3.635,NA,OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,108.79103547331111,378.069,1477994102.511067,NA,2.0293803215026855,2.0293803215026855,2.3207921001790517,model_18,193578878864.8731,NaDONA,100729456168.62756,0.014672908588296259,5.547371877068579
PFBS,QCN-AL,11922857,2.55,NA,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,110.51434405874777,300.1,1317646720.6612492,NA,1.919374942779541,1.919374942779541,2.401838746460019,model_19,233163377604.4269,PFBS,77034497544.1345,0.01710463185544041,5.133100019817668
PFBS,QCN-BL,15696492,2.55,NA,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,110.51434405874777,300.1,1734687517.4033818,NA,1.919374942779541,1.919374942779541,2.401838746460019,model_19,233163377604.4269,PFBS,77034497544.1345,0.022518320657696857,6.757748029374827
PFBS,QCN-CL,13203890,2.55,NA,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,110.51434405874777,300.1,1459219242.3738592,NA,1.919374942779541,1.919374942779541,2.401838746460019,model_19,233163377604.4269,PFBS,77034497544.1345,0.01894241267086665,5.684618042527082
PFDA,QCN-AL,13043571,4.97,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.75313692289856,514.083,1457659975.926549,NA,2.268279552459717,2.268279552459717,2.09342386245092,model_20,114563958344.31128,PFDA,171961474170.33243,0.008476665968115032,4.35770987088648
PFDA,QCN-BL,17912259,4.97,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.75313692289856,514.083,2001751132.625422,NA,2.268279552459717,2.268279552459717,2.09342386245092,model_20,114563958344.31128,PFDA,171961474170.33243,0.011640695349253834,5.9842835872304585
PFDA,QCN-CL,13026265,4.97,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.75313692289856,514.083,1455725976.1389613,NA,2.268279552459717,2.268279552459717,2.09342386245092,model_20,114563958344.31128,PFDA,171961474170.33243,0.008465419264183708,4.351928131589353
PFDoDA,QCN-AL,13584803,5.82,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,114.16194053629964,614.098,1550867472.283345,NA,2.2253987789154053,2.2253987789154053,2.2995836470295887,model_21,184279632017.35904,PFDoDA,161605212575.98788,0.009596642630287167,5.893279045974088
PFDoDA,QCN-BL,17640289,5.82,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,114.16194053629964,614.098,2013849623.8611407,NA,2.2253987789154053,2.2253987789154053,2.2995836470295887,model_21,184279632017.35904,PFDoDA,161605212575.98788,0.01246153878182744,7.652606042842667
PFDoDA,QCN-CL,13085928,5.82,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,114.16194053629964,614.098,1493914934.1982985,NA,2.2253987789154053,2.2253987789154053,2.2995836470295887,model_21,184279632017.35904,PFDoDA,161605212575.98788,0.009244224925578123,5.676860038347674
PFDS,QCN-AL,14003902,5.93,NA,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.82053841787094,600.145,1649947273.5910997,NA,2.4452857971191406,2.4452857971191406,2.7144035790254,model_22,480408319261.36774,PFDS,266274564094.24008,0.006196413387074964,3.718746512186104
PFDS,QCN-BL,18432010,5.92,NA,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.82053841787094,600.145,2171669342.323581,NA,2.4452857971191406,2.4452857971191406,2.7144035790254,model_22,480408319261.36774,PFDS,266274564094.24008,0.008155752126421592,4.894633859911287
PFDS,QCN-CL,14858407,5.92,NA,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,117.82053841787094,600.145,1750625512.7718625,NA,2.4452857971191406,2.4452857971191406,2.7144035790254,model_22,480408319261.36774,PFDS,266274564094.24008,0.006574512735479608,3.945660945634409
PFHpA,QCN-AL,3031231,3.42,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,108.22766648667358,364.061,328063057.71206605,NA,1.7193976640701294,1.7193976640701294,1.7191428152095192,model_23,48410416883.337494,PFHpA,45943479474.16843,0.0071405792827798,2.5996064342680967
PFHpA,QCN-BL,3992934,3.42,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,108.22766648667358,364.061,432145929.2552995,NA,1.7193976640701294,1.7193976640701294,1.7191428152095192,model_23,48410416883.337494,PFHpA,45943479474.16843,0.009406033983522561,3.424370138075207
PFHpA,QCN-CL,3351356,3.42,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,108.22766648667358,364.061,362709439.44611245,NA,1.7193976640701294,1.7193976640701294,1.7191428152095192,model_23,48410416883.337494,PFHpA,45943479474.16843,0.007894688073201872,2.8741480346179467
PFHxA,QCN-AL,1859915,2.69,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,107.07590567029904,314.053,199152083.09477425,NA,1.58504056930542,1.58504056930542,1.4975315868027514,model_24,29081101646.778683,PFHxA,32975560570.24992,0.0060393843091918935,1.8966867604546418
PFHxA,QCN-BL,2569917,2.7,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,107.07590567029904,314.053,275176190.2724979,NA,1.58504056930542,1.58504056930542,1.4975315868027514,model_24,29081101646.778683,PFHxA,32975560570.24992,0.008344852536661892,2.620725973696277
